,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
4870,4870,4870,1.26e+18,1.26e+18,1588270000000.0,30-04-2020 23:31,530,,"How to check and electricity bill online by various methods in Punjab.  https://youtu.be/57kafZTewrgÂ 
#Electricity #electricityboard #RishiKapoor #coronavirus #Covid19India pic.twitter.com/ROcVDKIHMI","['#electricity', '#electricityboard', '#rishikapoor', '#coronavirus', '#covid19india']",[],3159766069.0,3159766069.0,SBGComputers,Pankaj Kumar,4,23,https://twitter.com/SBGComputers/status/1255920267030822919,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3159766069', 'username': 'SBGComputers'}]",,,,,check   electr   bill   onlin   variou   method   punjab   electr   electricityboard   rishikapoor   coronaviru   covidindia  ,0
4915,4915,4915,1.26e+18,1.26e+18,1588270000000.0,30-04-2020 23:24,530,,"Humanity is winning. The world will win soon. 

Doctor came back home after working for 20 days in the ICU. The society/family welcomed here with flowers. 

#COVID__19 #Covid19India #IndiaFightsCorona #IndiaFightsCOVID19 pic.twitter.com/QIKWuWrdgG","['#covid__19', '#covid19india', '#indiafightscorona', '#indiafightscovid19']",[],49718327.0,49718327.0,kapoorvidur,Vidur Kapoor.,4,23,https://twitter.com/kapoorvidur/status/1255918464537001986,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '49718327', 'username': 'kapoorvidur'}]",,,,,human   win   world   win   soon   doctor   came   back   home   work   day   icu   societi   famili   welcom   flower   covid   covidindia   indiafightscorona   indiafightscovid  ,1
5179,5179,5179,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:56,530,,"Who could better speak for the sanctity of hope than a flower bud?
#hopeisgood #bettertomorrow #hyderabad #unedited #shotongalaxy #samsung #instagood #lockdown #covid19india @ Garuda Nest  https://www.instagram.com/p/B_p75bjHB4Z/?igshid=1bq0fh4ihyohhÂ â¦","['#hopeisgood', '#bettertomorrow', '#hyderabad', '#unedited', '#shotongalaxy', '#samsung', '#instagood', '#lockdown', '#covid19india']",[],122273046.0,122273046.0,Me_surojit,Surojit Podder,5,23,https://twitter.com/Me_surojit/status/1256288873912635393,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '122273046', 'username': 'Me_surojit'}]",,,,,could   better   speak   sanctiti   hope   flower   bud   hopeisgood   bettertomorrow   hyderabad   unedit   shotongalaxi   samsung   instagood   lockdown   covidindia   garuda   nest  ,0
5267,5267,5267,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:41,530,,"Comic Strip 
Day 38
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B_p6L0MDFb2/?igshid=17cgfm3vxu215Â â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758.0,2351739758.0,kls_rt,Ritam Talukdar,5,23,https://twitter.com/kls_rt/status/1256285115728244743,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,comic   strip   day   quarantin   dayslockdown   dayslockdownindia   kolkata   covid   covidindia   covidkolkata   corona   covidart   covidartexhibit   coronaindia   artquarantin  ,-1
5354,5354,5354,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:24,530,,"Bureaucrats have turned it into a mess. Fear is the Indian bureaucratâs best friend. As the fear of COVID-19 grips people, an opportunity has arisenâfor the regulatory inspectors to make the country dance to their tunes. Some thoughts:  http://swatantraopinion.com/the-problematiÂ â¦

#Covid19India",['#covid19india'],[],44329969.0,44329969.0,GSansanwal,Gaurav  Sansanwal,5,23,https://twitter.com/GSansanwal/status/1256280779832692736,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '44329969', 'username': 'GSansanwal'}, {'user_id': '60843563', 'username': 'dhanyarajendran'}, {'user_id': '21453226', 'username': 'saffrontrail'}]",,,,,bureaucrat   turn   mess   fear   indian   bureaucrat   best   friend   fear   covid   grip   peopl   opportun   arisen   regulatori   inspector   make   countri   danc   tune   thought   covidindia  ,1
5378,5378,5378,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:21,530,,"Fear is the Indian bureaucratâs best friend. As the fear of COVID-19 grips people, an opportunity has arisenâfor the regulatory inspectors to make the country dance to their tunes. Some thoughts:  http://swatantraopinion.com/the-problematiÂ â¦

#Covid19India #IndiaFightsCoronavirus #BengalCovidMystery","['#covid19india', '#indiafightscoronavirus', '#bengalcovidmystery']",[],44329969.0,44329969.0,GSansanwal,Gaurav  Sansanwal,5,23,https://twitter.com/GSansanwal/status/1256280122430091266,False,14,1,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '44329969', 'username': 'GSansanwal'}, {'user_id': '1572648817', 'username': 'sushantsareen'}]",,,,,fear   indian   bureaucrat   best   friend   fear   covid   grip   peopl   opportun   arisen   regulatori   inspector   make   countri   danc   tune   thought   covidindia   indiafightscoronaviru   bengalcovidmysteri  ,-1
5379,5379,5379,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:21,530,,"Fear is the Indian bureaucratâs best friend. As the fear of COVID-19 grips people, an opportunity has arisenâfor the regulatory inspectors to make the country dance to their tunes. Some thoughts:  http://swatantraopinion.com/the-problematiÂ â¦

#Covid19India #IndiaFightsCoronavirus #BengalCovidMystery","['#covid19india', '#indiafightscoronavirus', '#bengalcovidmystery']",[],44329969.0,44329969.0,GSansanwal,Gaurav  Sansanwal,5,23,https://twitter.com/GSansanwal/status/1256280026783215617,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '44329969', 'username': 'GSansanwal'}, {'user_id': '44425241', 'username': 'AdityaRajKaul'}]",,,,,fear   indian   bureaucrat   best   friend   fear   covid   grip   peopl   opportun   arisen   regulatori   inspector   make   countri   danc   tune   thought   covidindia   indiafightscoronaviru   bengalcovidmysteri  ,-1
5383,5383,5383,1.26e+18,1.26e+18,1588360000000.0,01-05-2020 23:21,530,,"Fear is the Indian bureaucratâs best friend. As the fear of COVID-19 grips people, an opportunity has arisenâfor the regulatory inspectors to make the country dance to their tunes. Some thoughts:  http://swatantraopinion.com/the-problematiÂ â¦

#Covid19India #IndiaFightsCoronavirus #BengalCovidMystery","['#covid19india', '#indiafightscoronavirus', '#bengalcovidmystery']",[],44329969.0,44329969.0,GSansanwal,Gaurav  Sansanwal,5,23,https://twitter.com/GSansanwal/status/1256279974736048128,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '44329969', 'username': 'GSansanwal'}, {'user_id': '79169144', 'username': 'horror06'}, {'user_id': '143776014', 'username': 'TheJaggi'}]",,,,,fear   indian   bureaucrat   best   friend   fear   covid   grip   peopl   opportun   arisen   regulatori   inspector   make   countri   danc   tune   thought   covidindia   indiafightscoronaviru   bengalcovidmysteri  ,-1
5592,5592,5592,1.26e+18,1.26e+18,1588440000000.0,02-05-2020 23:21,530,,"No charges , Free Service #COVID19India
How to Promote your Business after Lockdown #DigitalMarketing 
Follow this link to message me on WhatsApp:  https://wa.me/917982467763Â  pic.twitter.com/kXIvqO5cWk","['#covid19india', '#digitalmarketing']",[],1.25e+18,1.25e+18,DeepakK44805171,Solution Problem Service,6,23,https://twitter.com/DeepakK44805171/status/1256642443044425728,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1247487053719162881', 'username': 'DeepakK44805171'}]",,,,,charg   free   servic   covidindia   promot   busi   lockdown   digitalmarket   follow   link   messag   whatsapp  ,1
571,571,571,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:29,530,,"On behalf of National Mental Health Support Team during COVID-19 Pandemic and Indian Psychiatric Society, We would like to thank MY FM to take this initiative for Udaipur city to cope with stress arisen due to the present situation.
 @MYFMIndia
#COVID #stressrelief #mentalhealth pic.twitter.com/Plv6W9B5He","['#covid', '#stressrelief', '#mentalhealth']",[],1.18e+18,1.18e+18,TrivantaH,Trivanta Hospital,7,23,https://twitter.com/TrivantaH/status/1251933517958782976,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1176427003060187136', 'username': 'TrivantaH'}, {'user_id': '77435469', 'username': 'MYFMIndia'}]",,,,,behalf   nation   mental   health   support   team   covid   pandem   indian   psychiatr   societi   would   like   thank   fm   take   initi   udaipur   citi   cope   stress   arisen   due   present   situat   covid   stressrelief   mentalhealth  ,1
2360,2360,2360,1.25e+18,1.25e+18,1587660000000.0,23-04-2020 22:52,530,,"*#Webinar Tele #Mentalhealth Services* #Covid_19 and Beyond Panel Discussion with experts

Hosted by Dr. Nimesh G Desai Director #IHBAS & CEO SMHA
Apr 25, 2020 2:30 pm IST

*Joining Link for Participant   given below:*   https://meetingsapac13.webex.com/meetingsapac13/j.php?MTID=mdf76271218f1131677d58bfc3ad05a2bÂ â¦
#IndiaFightsCOVID19 #Telemedicine pic.twitter.com/Slhst0q7S4","['#webinar', '#mentalhealth', '#covid_19', '#ihbas', '#indiafightscovid19', '#telemedicine']",[],1678403144.0,1678403144.0,ompsychiatrist,Dr. Om Prakash,4,22,https://twitter.com/ompsychiatrist/status/1253373601903828992,False,20,1,8,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1678403144', 'username': 'ompsychiatrist'}]",,,,,webinar   tele   mentalhealth   servic   covid   beyond   panel   discuss   expert   host   dr   nimesh   g   desai   director   ihba   ceo   smha   apr   pm   ist   join   link   particip   given   indiafightscovid   telemedicin  ,0
3048,3048,3048,1.25e+18,1.25e+18,1587930000000.0,27-04-2020 00:00,530,,Kind of important to all of us. #mentalhealth #StayHomeSaveLives #Covid_19  https://twitter.com/Srishtea_/status/1254469847758417920Â â¦,"['#mentalhealth', '#stayhomesavelives', '#covid_19']",[],540926180.0,540926180.0,nitzzo,Nitesh Sharma,1,0,https://twitter.com/nitzzo/status/1254477847365894145,False,1,0,0,https://twitter.com/Srishtea_/status/1254469847758417920,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '540926180', 'username': 'nitzzo'}]",,,,,kind   import   u   mentalhealth   stayhomesavel   covid  ,0
3622,3622,3622,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 23:09,530,,"We faced same situation in #Leprosy #Tuberculosis and #HIV #Aids but now same with COVID! #endstigma #enddiscrimination & #mentalhealth for all @MSF_access
@NACOINDIA @MumbaiPolice @ANILGALGALIRTI @ANI @HIVTB @mariwalahealth @CIIFoundation
#CovidWarriors #solidarity @msf_tb @MSF https://twitter.com/TbHivActivist/status/1254668872835379201Â â¦","['#leprosy', '#tuberculosis', '#hiv', '#aids', '#endstigma', '#enddiscrimination', '#mentalhealth', '#covidwarriors', '#solidarity']",[],8.83e+17,8.83e+17,Hru_socialwork,social worker,1,23,https://twitter.com/Hru_socialwork/status/1254827484098342913,False,4,0,2,https://twitter.com/TbHivActivist/status/1254668872835379201,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '882672131947024384', 'username': 'Hru_socialwork'}, {'user_id': '39773339', 'username': 'MSF_access'}, {'user_id': '1035019353190621185', 'username': 'NACOINDIA'}, {'user_id': '4573405572', 'username': 'MumbaiPolice'}, {'user_id': '260140960', 'username': 'ANILGALGALIRTI'}, {'user_id': '355989081', 'username': 'ANI'}, {'user_id': '56674715', 'username': 'HIVTB'}, {'user_id': '851732592948908032', 'username': 'mariwalahealth'}, {'user_id': '943728627610411008', 'username': 'CIIFoundation'}, {'user_id': '435950904', 'username': 'msf_tb'}, {'user_id': '2195671183', 'username': 'MSF'}]",,,,,face   situat   leprosi   tuberculosi   hiv   aid   covid   endstigma   enddiscrimin   mentalhealth   covidwarrior   solidar  ,-1
571,571,571,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:29,530,,"On behalf of National Mental Health Support Team during COVID-19 Pandemic and Indian Psychiatric Society, We would like to thank MY FM to take this initiative for Udaipur city to cope with stress arisen due to the present situation.
 @MYFMIndia
#COVID #stressrelief #mentalhealth pic.twitter.com/Plv6W9B5He","['#covid', '#stressrelief', '#mentalhealth']",[],1.18e+18,1.18e+18,TrivantaH,Trivanta Hospital,7,23,https://twitter.com/TrivantaH/status/1251933517958782976,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1176427003060187136', 'username': 'TrivantaH'}, {'user_id': '77435469', 'username': 'MYFMIndia'}]",,,,,behalf   nation   mental   health   support   team   covid   pandem   indian   psychiatr   societi   would   like   thank   fm   take   initi   udaipur   citi   cope   stress   arisen   due   present   situat   covid   stressrelief   mentalhealth  ,1
5737,5737,5737,1.26e+18,1.26e+18,1588440000000.0,02-05-2020 23:00,530,,"Parenting in Covid : Day 3 âKeep #Calm and Manage #stress. Find someone who you can talk to about how you are feeling! Take a break and do something #fun or #relaxing for yourself when #children are asleep. 

#jasminkumar #parenting #lockdownparenting #parentingincovid #COVID19 pic.twitter.com/Y2rLoc3Xlr","['#calm', '#stress', '#fun', '#relaxing', '#children', '#jasminkumar', '#parenting', '#lockdownparenting', '#parentingincovid', '#covid19']",[],1.13e+18,1.13e+18,jasminrayz,Jasmin Kumar,6,23,https://twitter.com/jasminrayz/status/1256637241469722629,False,3,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1128161693383577600', 'username': 'jasminrayz'}]",,,,,parent   covid   day   keep   calm   manag   stress   find   someon   talk   feel   take   break   someth   fun   relax   child   asleep   jasminkumar   parent   lockdownpar   parentingincovid   covid  ,-1
1504,1504,1504,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 23:00,530,Gilbert Hill,"Sitting and doing nothing is not my genre. 
#COVIDã¼19 #coronavirus #lockdown #StaySafe #martialarts #tuesdayvibes #ArtistWheeinDay #weapons #fearless #strength #Practice #SocialDistancing pic.twitter.com/dM7GuAGFvx â at Gilbert Hill","['#covidã¼19', '#coronavirus', '#lockdown', '#staysafe', '#martialarts', '#tuesdayvibes', '#artistwheeinday', '#weapons', '#fearless', '#strength', '#practice', '#socialdistancing']",[],7.15e+17,7.15e+17,iam___RSA,Ravi Shankar Azad(RSA),2,23,https://twitter.com/iam___RSA/status/1252650940554977289,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '714792409498910721', 'username': 'iam___RSA'}]",,,,,sit   noth   genr   covid   coronaviru   lockdown   staysaf   martialart   tuesdayvib   artistwheeinday   weapon   fearless   strength   practic   socialdistanc   gilbert   hill  ,-1
2684,2684,2684,1.25e+18,1.25e+18,1587750000000.0,24-04-2020 23:07,530,,"Loss is only temporary when you believe in Godâ¥ï¸
#depression #Bengaluru #YouthWithYou #lifeafterlockup #Corona #peace #Jobseeker #GujaratCoronaUpdate #ARMY #HealthCareWorkers #Karnataka #student #lockdown #level4lockdown #Nifty #QuarentineLife #TamilNadu #vaccine #India #love pic.twitter.com/qmIdEQtTOV","['#depression', '#bengaluru', '#youthwithyou', '#lifeafterlockup', '#corona', '#peace', '#jobseeker', '#gujaratcoronaupdate', '#army', '#healthcareworkers', '#karnataka', '#student', '#lockdown', '#level4lockdown', '#nifty', '#quarentinelife', '#tamilnadu', '#vaccine', '#india', '#love']",[],1.24e+18,1.24e+18,yours_abhi_shek,Abhishek,5,23,https://twitter.com/yours_abhi_shek/status/1253739752362147841,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1240703123850530816', 'username': 'yours_abhi_shek'}]",,,,,loss   temporari   believ   god   depress   bengaluru   youthwithy   lifeafterlockup   corona   peac   jobseek   gujaratcoronaupd   armi   healthcarework   karnataka   student   lockdown   levellockdown   nifti   quarentinelif   tamilnadu   vaccin   india   love  ,1
43,43,43,1.25e+18,1.25e+18,1587230000000.0,18-04-2020 23:52,530,,"@SasikumarDir annaeâ¤ï¸ð¤
Appreciate Mr.sasikumar anna because he always support our people when people are affected, suffer etc..Kaja cyclone he participate now corona.
#CoronaUpdatesInIndia
@ImAvudaiappan @karthickselvaa @News18TamilNadu @news7tamil @PTTVEnglish https://twitter.com/erasaravanan/status/1251529899837280259Â â¦",['#coronaupdatesinindia'],[],9.27e+17,9.27e+17,natarajmadhesh,à®®à®¾. à®¨à®à®°à®¾à®à¯,6,23,https://twitter.com/natarajmadhesh/status/1251576790226571269,False,1,0,0,https://twitter.com/erasaravanan/status/1251529899837280259,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '927450706818109446', 'username': 'natarajmadhesh'}, {'user_id': '700718514760355840', 'username': 'SasikumarDir'}, {'user_id': '710855390', 'username': 'ImAvudaiappan'}, {'user_id': '52334569', 'username': 'karthickselvaa'}, {'user_id': '739042814755901440', 'username': 'News18TamilNadu'}, {'user_id': '2691975211', 'username': 'news7tamil'}, {'user_id': '965845248281755649', 'username': 'PTTVEnglish'}]",,,,,anna   appreci   mr   sasikumar   anna   alway   support   peopl   peopl   affect   suffer   etc   kaja   cyclon   particip   corona   coronaupdatesinindia  ,0
165,165,165,1.25e+18,1.25e+18,1587230000000.0,18-04-2020 23:31,530,,"Lockdown to cost state Rs 4.2K crore till April 20
#MadhyaPradesh
#coronavirus
#CoronaUpdatesInIndia  https://timesofindia.indiatimes.com/city/bhopal/lockdown-to-cost-state-rs-4-2k-crore-till-april-20/articleshow/75211209.cms?utm_campaign=andapp&utm_medium=referral&utm_source=native_share_trayÂ â¦
Download the TOI app now:
 https://timesofindia.onelink.me/efRt/installtoiÂ ","['#madhyapradesh', '#coronavirus', '#coronaupdatesinindia']",[],79033618.0,79033618.0,amarjeetsingTOI,Amarjeet Singh,6,23,https://twitter.com/amarjeetsingTOI/status/1251571692410859520,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '79033618', 'username': 'amarjeetsingTOI'}]",,,,,lockdown   cost   state   r   k   crore   till   april   madhyapradesh   coronaviru   coronaupdatesinindia   download   toi   app  ,1
850,850,850,1.25e+18,1.25e+18,1587410000000.0,20-04-2020 23:42,530,,"Donate Blood , scarcity at many places. #Covid #CoronaUpdatesInIndia","['#covid', '#coronaupdatesinindia']",[],75521696.0,75521696.0,svmurthy,la vie en pause,1,23,https://twitter.com/svmurthy/status/1252299116740136960,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '75521696', 'username': 'svmurthy'}]",,,,,donat   blood   scarciti   mani   place   covid   coronaupdatesinindia  ,1
1819,1819,1819,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:21,530,,Aerial view of Gurugram during lockdown. #Gurugram #gurgaon #CoronaUpdatesInIndia pic.twitter.com/SsXeatvuAp,"['#gurugram', '#gurgaon', '#coronaupdatesinindia']",[],2312292547.0,2312292547.0,Gagan4344,Gagandeep Singh,3,23,https://twitter.com/Gagan4344/status/1253018624660471816,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2312292547', 'username': 'Gagan4344'}]",,,,,aerial   view   gurugram   lockdown   gurugram   gurgaon   coronaupdatesinindia  ,-1
2292,2292,2292,1.25e+18,1.25e+18,1587660000000.0,23-04-2020 23:02,530,,"#CoronaUpdatesInIndia
â¡ï¸Total Cases till now:23031*

ðNew Cases Today:1659*
ðActive Cases: 17302
ðRecovered: 5008
ðDeaths: 721

ðTS-970(+27), A-693, R-252, D-25
ðAP-893(+80), A-725, R-141, D-27
ðHighest: MH 6427
@KTRTRS
#coronavirus #Covid_19 #IndiaFightsCoronavirus","['#coronaupdatesinindia', '#coronavirus', '#covid_19', '#indiafightscoronavirus']",[],609930903.0,609930903.0,upendergoudl,upender goud,4,23,https://twitter.com/upendergoudl/status/1253376139512303618,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '609930903', 'username': 'upendergoudl'}, {'user_id': '118787224', 'username': 'KTRTRS'}]",,,,,coronaupdatesinindia   total   case   till   new   case   today   activ   case   recov   death   t   r   ap   r   highest   mh   coronaviru   covid   indiafightscoronaviru  ,-1
2722,2722,2722,1.25e+18,1.25e+18,1587840000000.0,25-04-2020 23:48,530,,"Hats off to you for your decision on bringing back migrant workers of UP from various states stuck due to lockdown.à¤¯à¥à¤à¥ à¤à¥ à¤¦à¤¿à¤² à¤¸à¥ à¤§à¤¨à¥à¤¯à¤µà¤¾à¤¦ ð
@myogiadityanath @CMOfficeUP
#COVID2019india #COVID19 #CoronaUpdatesInIndia #corona
Request to all state CMs to follow the same.@PMOIndia https://twitter.com/mohta_yash/status/1251697522252414977Â â¦","['#covid2019india', '#covid19', '#coronaupdatesinindia', '#corona']",[],7.76e+17,7.76e+17,mohta_yash,Yash Mohta,6,23,https://twitter.com/mohta_yash/status/1254112512796168196,False,0,0,0,https://twitter.com/mohta_yash/status/1251697522252414977,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '775651579047219200', 'username': 'mohta_yash'}, {'user_id': '3437532637', 'username': 'myogiadityanath'}, {'user_id': '2587240482', 'username': 'CMOfficeUP'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",,,,,hat   decis   bring   back   migrant   worker   variou   state   stuck   due   lockdown   covidindia   covid   coronaupdatesinindia   corona   request   state   cm   follow   pmoindia  ,1
3017,3017,3017,1.25e+18,1.25e+18,1587840000000.0,25-04-2020 22:53,530,,"Good News ð°
#Covid_19 #Lockdown2 #Covid_19india #ofb @mygovindia @narendramodi #CoronaUpdatesInIndia #coronaupdatesindia pic.twitter.com/BCSD0B8Iuy","['#covid_19', '#lockdown2', '#covid_19india', '#ofb', '#coronaupdatesinindia', '#coronaupdatesindia']",[],486425953.0,486425953.0,sonujaggi,Sonu Jaggi,6,22,https://twitter.com/sonujaggi/status/1254098785665351680,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '486425953', 'username': 'sonujaggi'}, {'user_id': '2686834802', 'username': 'mygovindia'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,good   news   covid   lockdown   covid   india   ofb   coronaupdatesinindia   coronaupdatesindia  ,-1
3401,3401,3401,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 23:52,530,,"#Read: Second  death of a doctor in Kolkata who had tested positive for Covid-19. He died on monday night. He was an orthopaedic surgeon in a private hospital in Kolkata. He had been on the ventilator since April 17 #CoronaUpdatesInIndia
#CoronavirusOutbreak","['#read', '#coronaupdatesinindia', '#coronavirusoutbreak']",[],1.04e+18,1.04e+18,Shahnazsays,Shahnaz P Mahrose Ø´ÛÙØ§Ø²,1,23,https://twitter.com/Shahnazsays/status/1254838285605748738,False,2,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1036291176200957952', 'username': 'Shahnazsays'}]",,,,,read   second   death   doctor   kolkata   test   posit   covid   die   monday   night   orthopaed   surgeon   privat   hospit   kolkata   ventil   sinc   april   coronaupdatesinindia   coronavirusoutbreak  ,-1
3406,3406,3406,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 23:51,530,,"#PlasmaTherapy is undergoing clinical trials & is not yet recommended for treatment. The decision to lift #lockdown is dependent on many factors like spread of the disease, financial aspects etc & is revised from time to time
#CoronaUpdatesInIndia @MoHFW_INDIA @ICMRDELHI","['#plasmatherapy', '#lockdown', '#coronaupdatesinindia']",[],9.55e+17,9.55e+17,vishalsingh_IND,Vishal Singh,1,23,https://twitter.com/vishalsingh_IND/status/1254838117305143296,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '954710848311738369', 'username': 'vishalsingh_IND'}, {'user_id': '2596143056', 'username': 'MoHFW_INDIA'}, {'user_id': '2695241174', 'username': 'ICMRDELHI'}]",,,,,plasmatherapi   undergo   clinic   trial   yet   recommend   treatment   decis   lift   lockdown   depend   mani   factor   like   spread   diseas   financi   aspect   etc   revis   time   time   coronaupdatesinindia  ,1
4493,4493,4493,1.26e+18,1.26e+18,1588180000000.0,29-04-2020 22:52,530,,"#BiharFightsCorona 4th update of the day. Total #covid_19 +ve Cases in #Bihar 403.
#Covid19FreeBihar #IndiaFightsCorona #CoronaUpdateBihar #COVID #CoronaUpdatesInIndia
#StayAtHome #StaySafe pic.twitter.com/EKmKBoViwm","['#biharfightscorona', '#covid_19', '#bihar', '#covid19freebihar', '#indiafightscorona', '#coronaupdatebihar', '#covid', '#coronaupdatesinindia', '#stayathome', '#staysafe']",[],1914199334.0,1914199334.0,Pappu_jeh,Pappu Kumar,3,22,https://twitter.com/Pappu_jeh/status/1255548044898193416,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1914199334', 'username': 'Pappu_jeh'}]",,,,,biharfightscorona   th   updat   day   total   covid   case   bihar   covidfreebihar   indiafightscorona   coronaupdatebihar   covid   coronaupdatesinindia   stayathom   staysaf  ,-1
